Raman shift [1/cm],Counts
1904.695,0.31532
1902.192,0.31416
1899.688,0.31855
1897.184,0.31915
1894.68,0.32093
1892.176,0.3208
1889.672,0.31922
1887.168,0.32054
1884.664,0.32087
1882.16,0.3224
1879.657,0.32573
1877.153,0.32743
1874.649,0.32854
1872.145,0.32996
1869.641,0.3329
1867.137,0.33721
1864.633,0.33445
1862.129,0.33587
1859.625,0.33567
1857.122,0.33551
1854.618,0.33623
1852.114,0.33745
1849.61,0.33683
1847.106,0.33714
1844.602,0.34158
1842.098,0.34349
1839.594,0.34713
1837.09,0.34899
1834.587,0.34927
1832.083,0.34937
1829.579,0.34777
1827.075,0.35196
1824.571,0.3543
1822.067,0.35257
1819.563,0.35291
1817.059,0.35443
1814.556,0.35438
1812.052,0.35735
1809.548,0.35771
1807.044,0.35691
1804.54,0.3581
1802.036,0.36071
1799.532,0.362
1797.028,0.36104
1794.524,0.36641
1792.021,0.3638
1789.517,0.36238
1787.013,0.36308
1784.509,0.36375
1782.005,0.36396
1779.501,0.36571
1776.997,0.36848
1774.493,0.36672
1771.989,0.36811
1769.486,0.37075
1766.982,0.37271
1764.478,0.3741
1761.974,0.37632
1759.47,0.37663
1756.966,0.37475
1754.462,0.37715
1751.958,0.37818
1749.455,0.37818
1746.951,0.37586
1744.447,0.37836
1741.943,0.37934
1739.439,0.38267
1736.935,0.38603
1734.431,0.38608
1731.927,0.38637
1729.423,0.38745
1726.92,0.38657
1724.416,0.38735
1721.912,0.38949
1719.408,0.39044
1716.904,0.39292
1714.4,0.39481
1711.896,0.39488
1709.392,0.39845
1706.888,0.39881
1704.385,0.40144
1701.881,0.4049
1699.377,0.40488
1696.873,0.40893
1694.369,0.41102
1691.865,0.4144
1689.361,0.41492
1686.857,0.41636
1684.353,0.42013
1681.85,0.42315
1679.346,0.42501
1676.842,0.42759
1674.338,0.43121
1671.834,0.43306
1669.33,0.43753
1666.826,0.44179
1664.322,0.44207
1661.819,0.44293
1659.315,0.44953
1656.811,0.45415
1654.307,0.45302
1651.803,0.45656
1649.299,0.4588
1646.795,0.46112
1644.291,0.4642
1641.787,0.46784
1639.284,0.47029
1636.78,0.47081
1634.276,0.47806
1631.772,0.47943
1629.268,0.4833
1626.764,0.48227
1624.26,0.48606
1621.756,0.48433
1619.252,0.48555
1616.749,0.48286
1614.245,0.48663
1611.741,0.48949
1609.237,0.48934
1606.733,0.48962
1604.229,0.4898
1601.725,0.49128
1599.221,0.49324
1596.717,0.49319
1594.214,0.49719
1591.71,0.49819
1589.206,0.49804
1586.702,0.50245
1584.198,0.50338
1581.694,0.50318
1579.19,0.50496
1576.686,0.51128
1574.183,0.51428
1571.679,0.51193
1569.175,0.51133
1566.671,0.51559
1564.167,0.51959
1561.663,0.52161
1559.159,0.52406
1556.655,0.52703
1554.151,0.52837
1551.648,0.53168
1549.144,0.53823
1546.64,0.53888
1544.136,0.54319
1541.632,0.5452
1539.128,0.54536
1536.624,0.54732
1534.12,0.54858
1531.616,0.5524
1529.113,0.55377
1526.609,0.55759
1524.105,0.56144
1521.601,0.56397
1519.097,0.56511
1516.593,0.57089
1514.089,0.57316
1511.585,0.57724
1509.081,0.58111
1506.578,0.58684
1504.074,0.59066
1501.57,0.59887
1499.066,0.60318
1496.562,0.61495
1494.058,0.62244
1491.554,0.6332
1489.05,0.64448
1486.547,0.65019
1484.043,0.65553
1481.539,0.65941
1479.035,0.66395
1476.531,0.66702
1474.027,0.67242
1471.523,0.68537
1469.019,0.69738
1466.515,0.72409
1464.012,0.75593
1461.508,0.78396
1459.004,0.81285
1456.5,0.83123
1453.996,0.83768
1451.492,0.828
1448.988,0.80978
1446.484,0.78665
1443.98,0.76602
1441.477,0.75055
1438.973,0.73667
1436.469,0.73125
1433.965,0.7289
1431.461,0.72727
1428.957,0.7266
1426.453,0.72655
1423.949,0.7273
1421.446,0.72394
1418.942,0.72699
1416.438,0.72885
1413.934,0.72779
1411.43,0.72874
1408.926,0.72988
1406.422,0.73003
1403.918,0.73277
1401.414,0.73349
1398.911,0.73344
1396.407,0.73623
1393.903,0.73783
1391.399,0.73987
1388.895,0.74028
1386.391,0.74194
1383.887,0.74441
1381.383,0.7416
1378.879,0.73889
1376.376,0.73786
1373.872,0.73375
1371.368,0.73414
1368.864,0.7314
1366.36,0.7273
1363.856,0.72611
1361.352,0.7227
1358.848,0.71893
1356.344,0.71408
1353.841,0.70949
1351.337,0.7045
1348.833,0.70086
1346.329,0.6957
1343.825,0.68834
1341.321,0.68176
1338.817,0.67926
1336.313,0.67017
1333.81,0.66431
1331.306,0.65535
1328.802,0.65161
1326.298,0.64632
1323.794,0.64048
1321.29,0.63031
1318.786,0.62309
1316.282,0.61766
1313.778,0.61268
1311.275,0.60791
1308.771,0.60434
1306.267,0.60176
1303.763,0.59833
1301.259,0.59675
1298.755,0.59737
1296.251,0.59668
1293.747,0.59936
1291.243,0.60522
1288.74,0.60956
1286.236,0.6147
1283.732,0.6228
1281.228,0.62438
1278.724,0.62755
1276.22,0.62396
1273.716,0.61999
1271.212,0.61173
1268.708,0.6092
1266.205,0.59453
1263.701,0.58924
1261.197,0.58431
1258.693,0.58129
1256.189,0.57636
1253.685,0.57337
1251.181,0.57146
1248.677,0.57078
1246.174,0.57107
1243.67,0.56903
1241.166,0.56593
1238.662,0.56309
1236.158,0.56025
1233.654,0.56358
1231.15,0.56299
1228.646,0.55437
1226.142,0.55705
1223.639,0.55579
1221.135,0.55429
1218.631,0.55287
1216.127,0.54938
1213.623,0.54827
1211.119,0.54608
1208.615,0.54319
1206.111,0.54213
1203.607,0.54407
1201.104,0.54443
1198.6,0.54298
1196.096,0.54079
1193.592,0.54048
1191.088,0.54198
1188.584,0.54063
1186.08,0.54074
1183.576,0.54069
1181.072,0.54252
1178.569,0.5388
1176.065,0.53973
1173.561,0.5436
1171.057,0.54115
1168.553,0.54177
1166.049,0.54244
1163.545,0.54288
1161.041,0.54363
1158.538,0.54404
1156.034,0.54448
1153.53,0.54494
1151.026,0.54458
1148.522,0.54453
1146.018,0.54691
1143.514,0.54977
1141.01,0.54977
1138.506,0.55326
1136.003,0.55266
1133.499,0.55411
1130.995,0.55927
1128.491,0.56087
1125.987,0.56051
1123.483,0.56443
1120.979,0.56585
1118.475,0.56534
1115.971,0.56446
1113.468,0.56516
1110.964,0.56944
1108.46,0.57244
1105.956,0.58044
1103.452,0.59007
1100.948,0.60385
1098.444,0.61895
1095.94,0.63232
1093.436,0.64562
1090.933,0.65646
1088.429,0.66274
1085.925,0.66374
1083.421,0.65969
1080.917,0.65019
1078.413,0.63752
1075.909,0.62678
1073.405,0.61808
1070.902,0.60852
1068.398,0.60496
1065.894,0.60238
1063.39,0.60646
1060.886,0.61263
1058.382,0.62205
1055.878,0.63602
1053.374,0.652
1050.87,0.66488
1048.367,0.6702
1045.863,0.66803
1043.359,0.66062
1040.855,0.64392
1038.351,0.62303
1035.847,0.6037
1033.343,0.58989
1030.839,0.5769
1028.335,0.56805
1025.832,0.55873
1023.328,0.55341
1020.824,0.5523
1018.32,0.54931
1015.816,0.545
1013.312,0.54737
1010.808,0.54876
1008.304,0.54657
1005.801,0.55098
1003.297,0.54766
1000.793,0.54926
998.289,0.55037
995.785,0.5507
993.281,0.55124
990.777,0.55197
988.273,0.55328
985.769,0.55473
983.266,0.55191
980.762,0.55302
978.258,0.55586
975.754,0.55641
973.25,0.55919
970.746,0.55966
968.242,0.55909
965.738,0.5585
963.234,0.55796
960.731,0.55819
958.227,0.55894
955.723,0.56038
953.219,0.56167
950.715,0.55968
948.211,0.56012
945.707,0.56157
943.203,0.56077
940.699,0.56157
938.196,0.56276
935.692,0.56007
933.188,0.56046
930.684,0.56007
928.18,0.56067
925.676,0.56025
923.172,0.56072
920.668,0.56335
918.165,0.56665
915.661,0.56854
913.157,0.57079
910.653,0.57587
908.149,0.57972
905.645,0.59293
903.141,0.59304
900.637,0.60488
898.133,0.626
895.63,0.65805
893.126,0.70322
890.622,0.76099
888.118,0.82937
885.614,0.90493
883.11,0.96902
880.606,1
878.102,0.99598
875.598,0.96297
873.095,0.90675
870.591,0.83669
868.087,0.76891
865.583,0.71483
863.079,0.67074
860.575,0.64573
858.071,0.63026
855.567,0.62319
853.063,0.61756
850.56,0.61428
848.056,0.61075
845.552,0.60718
843.048,0.60677
840.544,0.60618
838.04,0.6061
835.536,0.60489
833.032,0.60378
830.529,0.60489
828.025,0.60512
825.521,0.60406
823.017,0.6045
820.513,0.60713
818.009,0.6052
815.505,0.60664
813.001,0.60695
810.497,0.60662
807.994,0.60651
805.49,0.60736
802.986,0.60827
800.482,0.60734
797.978,0.60607
795.474,0.60976
792.97,0.60522
790.466,0.60442
787.962,0.60525
785.459,0.60574
782.955,0.60571
780.451,0.60556
777.947,0.60543
775.443,0.60411
772.939,0.60295
770.435,0.60303
767.931,0.60548
765.427,0.60685
762.924,0.60566
760.42,0.60571
757.916,0.6013
755.412,0.6062
752.908,0.60496
750.404,0.60649
747.9,0.60672
745.396,0.60716
742.893,0.61082
740.389,0.60847
737.885,0.61449
735.381,0.61624
732.877,0.61684
730.373,0.6187
727.869,0.62032
725.365,0.62107
722.861,0.62334
720.358,0.62616
717.854,0.6275
715.35,0.63021
712.846,0.63411
710.342,0.637
707.838,0.6386
705.334,0.64059
702.83,0.64322
700.326,0.64701
697.823,0.64606
695.319,0.64621
692.815,0.64727
690.311,0.64849
687.807,0.64983
685.303,0.65127
682.799,0.65517
680.295,0.65584
677.792,0.65466
675.288,0.65352
672.784,0.65411
670.28,0.65566
667.776,0.65269
665.272,0.65729
662.768,0.65644
660.264,0.65553
657.76,0.65499
655.257,0.65466
652.753,0.65471
650.249,0.65445
647.745,0.65324
645.241,0.65399
642.737,0.65551
640.233,0.65502
637.729,0.65404
635.225,0.6577
632.722,0.6584
630.218,0.65752
627.714,0.65773
625.21,0.65907
622.706,0.66101
620.202,0.66271
617.698,0.66336
615.194,0.66485
612.69,0.66601
610.187,0.66746
607.683,0.66906
605.179,0.67022
602.675,0.67087
600.171,0.67438
597.667,0.67185
595.163,0.67427
592.659,0.67619
590.156,0.67724
587.652,0.67946
585.148,0.68202
582.644,0.68243
580.14,0.68455
577.636,0.68891
575.132,0.69046
572.628,0.68917
570.124,0.69304
567.621,0.69477
565.117,0.69539
562.613,0.69506
560.109,0.69666
557.605,0.69981
555.101,0.70104
552.597,0.70435
550.093,0.70435
547.589,0.70512
545.086,0.7061
542.582,0.70678
540.078,0.70721
537.574,0.70657
535.07,0.70755
532.566,0.70923
530.062,0.70987
527.558,0.70778
525.054,0.70386
522.551,0.70874
520.047,0.70967
517.543,0.71124
515.039,0.70902
512.535,0.70474
510.031,0.7043
507.527,0.7059
505.023,0.70427
502.52,0.70117
500.016,0.69932
497.512,0.69867
495.008,0.69702
492.504,0.69544
490,0.69681
487.496,0.69882
484.992,0.69999
482.488,0.7004
479.985,0.70179
477.481,0.70401
474.977,0.70432
472.473,0.70654
469.969,0.70954
467.465,0.7124
464.961,0.71777
462.457,0.7185
459.953,0.72484
457.45,0.73169
454.946,0.73726
452.442,0.74274
449.938,0.75087
447.434,0.75843
444.93,0.76633
442.426,0.77495
439.922,0.78244
437.418,0.78502
434.915,0.79279
432.411,0.79493
429.907,0.7922
427.403,0.78729
424.899,0.78239
422.395,0.77395
419.891,0.7678
417.387,0.76398
414.884,0.75835
412.38,0.75185
409.876,0.75156
407.372,0.74751
404.868,0.74444
402.364,0.74108
399.86,0.73966
397.356,0.74155
394.852,0.7353
392.349,0.73409
389.845,0.73189
387.341,0.73096
384.837,0.73176
382.333,0.72761
379.829,0.72686
377.325,0.72441
374.821,0.7227
372.317,0.72232
369.814,0.72123
367.31,0.718
364.806,0.71708
362.302,0.71439
359.798,0.71052
357.294,0.7083
354.79,0.70884
352.286,0.70334
349.782,0.70311
347.279,0.70437
344.775,0.70159
342.271,0.70172
339.767,0.7059
337.263,0.70801
334.759,0.70812
332.255,0.70758
329.751,0.70799
327.248,0.70884
324.744,0.71116
322.24,0.71287
319.736,0.71276
317.232,0.71261
314.728,0.71449
312.224,0.71782
309.72,0.71922
307.216,0.71826
304.713,0.72064
302.209,0.72043
299.705,0.71909
297.201,0.71261
294.697,0.69849
292.193,0.67725
289.689,0.6529
287.185,0.61604
284.681,0.57299
282.178,0.52772
279.674,0.47588
277.17,0.4216
274.666,0.36938
272.162,0.31855
269.658,0.2694
267.154,0.22732
264.65,0.19103
262.147,0.15743
259.643,0.12813
257.139,0.10431
254.635,0.082809
252.131,0.064195
249.627,0.050969
247.123,0.040496
244.619,0.02928
242.115,0.023212
239.612,0.017079
237.108,0.011756
234.604,0.0077506
232.1,0.0053952
229.596,0.0052323
227.092,2.04E-03
224.588,1.35E-03
222.084,3.38E-03
219.58,0.0014521
217.077,2.11E-04
214.573,-0.0014693
212.069,-0.0031076
209.565,-3.80E-03
207.061,-9.99E-04
204.557,-0.001266
202.053,-0.0020285
199.549,-2.22E-03
197.045,-0.0012239
194.542,-9.40E-04
192.038,-6.10E-04
189.534,-8.08E-04
187.03,-9.75E-04
184.526,9.05E-04
182.022,-1.18E-04
179.518,-1.43E-03
177.014,-0.0013394
174.511,8.69E-04
172.007,0.0016962
169.503,3.91E-04
166.999,-2.51E-04
164.495,-2.28E-04
161.991,-7.92E-04
159.487,2.18E-04
156.983,-0.0018749
154.479,-0.0015846
151.976,0.0025968
149.472,3.26E-04
146.968,5.54E-04
144.464,5.99E-04
141.96,3.70E-04
